"","x"
"883",7784.58345146978
"884",5800.5971403502
"885",6037.05674995208
"886",4552.25381899276
"887",5711.61183157959
"888",9848.68692840228
"889",6000.62256076798
"890",9748.16227220627
"891",3442.92200120253
"892",3173.2638698832
"893",4273.01231065649
"894",9099.4078609462
"895",4588.71149497991
"896",8439.61380735238
"897",4437.10240219161
"898",3711.09871808079
"899",4533.97072013939
"900",5157.54173627531
"901",8204.51182220306
"902",3589.11114248302
"903",4346.15078856563
"904",6826.80914476182
"905",3446.72088087496
"906",4464.01161882374
"907",2506.7976174319
"908",1875.03028223111
"909",3877.43972707324
"910",4096.22484397172
"911",8298.89823290001
"912",4837.01269898214
"913",4362.97456825338
"914",5812.13522417296
"915",5746.89209530316
"916",7550.15669799561
"917",7898.59621392027
"918",4149.54059478297
"919",5377.93678267603
"920",5184.02941864857
"921",3178.92650086439
"922",6841.18440573866
"923",5204.17750708171
"924",7750.63233052887
"925",2052.05807900993
"926",5058.41860167333
"927",5727.0766103614
"928",8709.61398183584
"929",2546.25926260807
"930",6423.19916044769
"931",5047.30254506302
"932",8480.3234355037
"933",4465.91248617053
"934",2051.23344392685
"935",3390.88043513487
"936",3297.40978066734
"937",5051.59819928731
"938",3297.104251121
"939",5259.15082265134
"940",861.237401688937
"941",7437.44188171986
"942",4074.31527916802
"943",5299.66155252745
"944",4533.20145729219
"945",3815.52304769738
"946",3976.750712357
"947",3888.33895481611
"948",7384.92750628176
"949",6727.10348612507
"950",2963.5922148652
"951",5391.4481507084
"952",3007.92710988782
"953",8541.62904716411
"954",3442.11430279963
"955",4426.84949608188
"956",3892.86806068994
"957",7278.35482563998
"958",2913.34390892409
"959",3203.41701704927
"960",10090.9885798445
"961",5141.07143743202
"962",5230.16948181903
"963",3097.36398885411
"964",8231.50589654769
"965",2452.77003106172
"966",5972.74703232828
"967",1661.86486975208
"968",5133.80975724058
"969",4827.39739966515
"970",7736.31570038799
"971",2868.74427411577
"972",1664.57838028081
"973",2864.91957355884
"974",4783.03169489285
"975",5680.61402459349
"976",5417.55900192849
"977",6900.49252898362
"978",3663.73052468518
"979",1984.76370168966
"980",3152.05643132346
"981",4810.14519311511
"982",4991.23199592432
"983",5661.08939257526
"984",3919.82850104105
"985",4229.97564486117
"986",4708.43129066029
"987",2686.58433415159
"988",6400.07346175273
"989",2463.61406339868
"990",4050.70996880223
"991",3573.25956126367
"992",3500.79264264944
"993",9349.93360622594
"994",4551.61753812473
"995",4066.40511275281
"996",2751.86185300769
"997",7074.29405939474
"998",2891.89787995646
"999",12604.4335157229
"1000",5778.51226879429
"1001",5131.40033447382
"1002",4650.3137364416
"1003",7499.98887307633
"1004",9488.98576346546
"1005",10576.4943045172
"1006",6547.68195130111
"1007",1903.93117653125
"1008",3540.58783742128
"1009",5670.27009641996
"1010",4208.67117045441
"1011",7154.23883970157
"1012",4583.27922169893
"1013",9036.30018944707
"1014",5380.50106283335
"1015",2644.94858379988
"1016",11230.0123388551
"1017",4618.14173184708
"1018",3053.76697379764
"1019",3911.24278888415
"1020",5891.69947429781
"1021",4211.91880689259
"1022",6256.85466644453
"1023",3856.05245464866
"1024",4004.43597108516
"1025",8428.88544796978
"1026",6115.70439555263
"1027",3306.6313859988
"1028",5748.124463588
"1029",5511.25895146531
"1030",3409.39018312271
"1031",6513.89081719052
"1032",5949.95840153581
"1033",4116.72448402247
"1034",3072.69546797831
"1035",6378.84908291313
"1036",6157.02741062257
"1037",4760.98760332091
"1038",4016.56670774613
"1039",6211.8274119526
"1040",3425.28572014114
"1041",5344.21609493496
"1042",3054.55446970608
"1043",5167.45076735766
"1044",6483.99487776245
"1045",3670.99581651104
"1046",4022.518787576
"1047",3539.05214751564
"1048",7951.16857157304
"1049",6981.70043250622
"1050",6969.84995209449
"1051",3126.16098309925
"1052",6290.80541793827
"1053",4596.10950867785
"1054",4504.45585128426
"1055",2469.39992232143
"1056",8409.20692011534
"1057",7328.8493208845
"1058",2633.83342368383
"1059",7445.25831709814
"1060",5344.23741118261
"1061",7695.83125184535
"1062",11071.9120577212
"1063",3260.46616865305
"1064",2750.51898988505
"1065",2953.77175971895
"1066",5948.97393762227
"1067",3683.13529269554
"1068",3441.12767814437
"1069",5418.9984973165
"1070",6038.91553161119
"1071",10057.3728657257
"1072",2410.25456928409
"1073",5306.2084665763
"1074",7645.70268576959
"1075",3997.50493618875
"1076",7163.27104910207
"1077",4513.97474271362
"1078",4350.46695347311
"1079",3714.5608459033
"1080",12774.1754345202
"1081",4245.4029982455
"1082",3951.54886870552
"1083",2744.31265396578
"1084",6637.25638245983
"1085",9530.62941108737
"1086",5893.84257506218
"1087",7597.32047086809
"1088",4506.82584308117
"1089",3299.60923802428
"1090",9372.73080272711
"1091",5618.59314886725
"1092",10869.0578599112
"1093",2794.67650911625
"1094",8786.17261298298
"1095",4054.71449057001
"1096",3865.54090106033
"1097",6575.41911575472
"1098",5374.17837787751
"1099",3783.1172022695
"1100",2795.80142278463
"1101",3594.11170010536
"1102",6817.66512022843
"1103",8794.2243969831
"1104",2283.61477435799
"1105",5171.70908886159
"1106",5122.45675481105
"1107",6796.75735732191
"1108",7697.88836866803
"1109",5543.6437425671
"1110",5599.70112746354
"1111",4963.49487736041
"1112",10255.7183978794
"1113",1828.71069582837
"1114",3960.71879265102
"1115",7417.61961421371
"1116",3838.16790333111
"1117",3776.90457426361
"1118",6253.35895810457
"1119",5545.98900373059
